Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftEyePupilSize;RightEyeStatus;RightEyeForward;RightEyePosition;RightEyePupilSize;FocusDistance;FocusStability
398936;1000009231667009200;63721295300763;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;-0.0826040243292604, 0.557430070208699, 0.826104286389882;0, 0, 0;VALID;-0.0967368743086555, 0.690671053339011, 0.716669709997969;-0.0338227, 0, 0;0.13680674135685;VALID;-0.065998933081678, 0.407505860868907, 0.910814533365367;0.0338227, 0, 0;0.136725947260857;2;1
398937;1000009231676986000;63721295300764;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;-0.0825943890141948, 0.55746951189132, 0.826078634401729;0, 0, 0;VALID;-0.0967734268249272, 0.690740552037889, 0.716597790696394;-0.0338227, 0, 0;0.136742204427719;VALID;-0.0659417921082861, 0.407503224066543, 0.910819851797775;0.0338227, 0, 0;0.137178257107735;2;1
398938;1000009231687062500;63721295300778;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;-0.0825920539145246, 0.557417430885081, 0.826114011729408;0, 0, 0;VALID;-0.0968078776256856, 0.690802047747913, 0.716533855206368;-0.0338227, 0, 0;0.136948361992836;VALID;-0.0658983565611182, 0.407309535035291, 0.910909627390049;0.0338227, 0, 0;0.137113973498344;2;1
398940;1000009231706914300;63721295300794;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;-0.0825661502511509, 0.557434972067354, 0.826104764995925;0, 0, 0;VALID;-0.0968656764897195, 0.691061288583603, 0.716276019519961;-0.0338227, 0, 0;0.137338578701019;VALID;-0.0657794985447685, 0.407017140972047, 0.911048903476723;0.0338227, 0, 0;0.137408956885338;2;1
398941;1000009231717273800;63721295300810;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;-0.0825498114347691, 0.557523524793351, 0.826046637868638;0, 0, 0;VALID;-0.0969022246083808, 0.691288616838512, 0.71605167906754;-0.0338227, 0, 0;0.137314632534981;VALID;-0.0657045604938467, 0.406922347061099, 0.911096654692902;0.0338227, 0, 0;0.137781292200089;2;1
398942;1000009231727152400;63721295300810;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;-0.0825277847941158, 0.557587118114033, 0.826005914294967;0, 0, 0;VALID;-0.0969234865092813, 0.691491853784323, 0.71585253642968;-0.0338227, 0, 0;0.137566462159157;VALID;-0.0656338447998503, 0.40680339452615, 0.911154869722371;0.0338227, 0, 0;0.137587830424309;2;1
398943;1000009231737233200;63721295300827;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;-0.0825132961931761, 0.557643086886685, 0.82596957788942;0, 0, 0;VALID;-0.0969420725020052, 0.691615789002322, 0.715730280889185;-0.0338227, 0, 0;0.137937009334564;VALID;-0.065583576771519, 0.406768458634194, 0.9111740862855;0.0338227, 0, 0;0.137743592262268;2;1
398944;1000009231747339900;63721295300844;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;-0.0824900026255319, 0.557572029866351, 0.826019873234026;0, 0, 0;VALID;-0.0969550064281554, 0.691609380537699, 0.715734721444179;-0.0338227, 0, 0;0.137980788946152;VALID;-0.0655224119746155, 0.406619024151885, 0.91124518255341;0.0338227, 0, 0;0.137927129864693;2;1
398945;1000009231757232400;63721295300844;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;-0.0824575645903317, 0.55746359572932, 0.826096295523935;0, 0, 0;VALID;-0.0969556411452449, 0.691513859204552, 0.715826924736798;-0.0338227, 0, 0;0.137882769107819;VALID;-0.0654578078600085, 0.406500443389646, 0.911302729565858;0.0338227, 0, 0;0.138272151350975;2;1
398946;1000009231767336900;63721295300861;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;-0.0824322154237505, 0.557478143403188, 0.826089008211625;0, 0, 0;VALID;-0.0969565949691728, 0.691587663992489, 0.715755490167834;-0.0338227, 0, 0;0.138624876737595;VALID;-0.0654043854615624, 0.406438119572331, 0.911334363074774;0.0338227, 0, 0;0.13836932182312;2;1
